product_id,sku,post_title,total_sales,price
6128,14569,Moulin de Gassac IGP Pays d'Hérault Blanc Faune 2017,3.0,10.6
4739,14366,Jean-Paul Brun Beaujolais Le Ronsay 2016,0.0,7.4
5506,14192,Château de la Selve Coteaux de l'Ardèche Rouge Serre de Berty 2014,0.0,18.2
4658,13517,Thierry Germain Saumur-Champigny Outre Terre 2016,0.0,48.8
4740,13412,Jean-Paul Brun Beaujolais L'Ancien 2016,0.0,9.7
4274,12942,Domaine Sérol Vin Mousseux Rosé Turbullent Méthode Ancestrale,0.0,12.9
5900,12869,Stéphane Tissot Arbois D.D. 2016,0.0,18.25
4397,12639,Wemyss Malts Blended Malt Scotch Whisky The Hive Batch Strength,0.0,59.0
5703,11736,Domaine de l'Ecu Muscadet Taurus 2012,0.0,29.4
5967,11669,Zind-Humbrecht Gewurztraminer Clos Windsbuhl 2012,0.0,56.3
4395,11587,Wemyss Malts Blended Scotch Whisky Lord Elcho,0.0,27.5
5801,11277,Château Monbrison Margaux Bouquet de Monbrison 2012,0.0,24.0
4337,4679,Champagne Mailly Grand Cru Les Echansons 2007,0.0,83.0
4795,3568,Emile Boeckel Crémant Brut Rosé,10.0,12.0
4404,3507,Cognac Frapin Château de Fontpinot XO,2.0,108.5
4146,1360,Champagne Mailly Grand Cru Brut Réserve,0.0,29.5
5561,19820,Tempier Bandol Migoua 2017,0.0,58.0
6205,16565,Domaine Giudicelli Vin de France Corail Rouge 2019,0.0,20.2
4181,16560,Borie La Vitarèle Saint-Chinian Les Terres Blanches 2019,9.0,11.9
4103,16505,Emile Boeckel Riesling Grand Cru Wiebelsberg 2016,12.0,16.3
4225,16497,Pierre Martin Sancerre Chavignol Blanc 2019,13.0,16.9
4931,16280,Marcel Richaud Cairanne Rouge L'Ebrescade 2017,0.0,27.8
4172,16210,Maurel Pays d'Oc Chardonnay 2019,43.0,5.7
4179,16166,Domaine de l'Hortus Pic Saint-Loup La Grande Cuvée 2018,7.0,24.0
4870,16149,Triennes IGP Méditerranée Rosé 2019,33.0,9.3
6620,16046,Domaine de La Tour Du Bon Bandol Rouge Saint Ferréol 2005,0.0,51.0
4889,16037,Saumaize-Michelin Pouilly-Fuissé Vignes Blanches 2018,0.0,25.3
4207,16023,Domaine Montrose Côtes de Thongue Rouge 2018,5.0,6.7
