product_id,sku,post_title,total_sales,price,z_score
6073,15951,Jacqueson Rully Rouge 1er Cru Les Preaux 2018,0.0,24.5,-0.2874141094865064
4758,15859,Domaine Saint-Nicolas Fiefs Vendéens Rouge Cuvée Jacques 2016,0.0,24.3,-0.2946056314214073
4221,15829,Xavier Frissant Touraine Les Roses du Clos 2018,15.0,12.8,-0.7081181426782109
4799,15811,Domaine de la Monardière Vacqueyras Les Deux Monardes 2017,3.0,14.9,-0.6326071623617513
6328,15810,Le Pas de l'Escalette IGP Pays d'Hérault Les Clapas Blanc 2018,0.0,22.4,-0.3629250898029662
6628,15792,Weingut Besson-Strasser Zürich Blauer Zweigelt 2016,0.0,32.2,-0.010540514992820353
4222,15759,Xavier Frissant Touraine Amboise M de La Touche 2016,4.0,8.9,-0.8483528204087792
4962,15737,Château Turcaud Bordeaux Blanc Cuvée Majeure 2018,14.0,11.3,-0.762054557189968
4790,15732,Maurice Schoech Riesling 2018,0.0,11.1,-0.7692460791248689
4104,15683,Emile Boeckel Riesling Brandluft 2018,12.0,9.7,-0.8195867326691755
4712,15667,Domaine Schoenheitz Crémant d'Alsace Mémoire de Granit Extra Brut,1.0,15.8,-0.600245313654697
5439,15649,La Préceptorie Maury Sec Rouge Copain Comme Cochon 2018,18.0,13.2,-0.6937350988084091
5747,15631,Thibaud Boudignon Anjou Blanc 2018,21.0,24.5,-0.2874141094865064
5477,15526,Domaine Pellé Menetou Salon Blanc Les Vignes de Ratier 2018,4.0,19.8,-0.4564148749566783
6094,15486,Château de Villeneuve Saumur-Champigny Clos de la Bienboire 2018,0.0,13.4,-0.6865435768735082
4598,15478,Marc Colin Et Fils Saint-Aubin Blanc En Montceau 2017,1.0,41.8,0.3346525378824243
5807,15471,Château d'Arcole Saint-Emilion Grand Cru 2016,4.0,27.3,-0.1867328023978933
4703,15465,Albert Mann Crémant d'Alsace Extra Brut 2017,7.0,19.8,-0.4564148749566783
4229,15403,Mérieau Touraine L'Arpent des Vaudons 2018,0.0,9.6,-0.8231824936366259
4161,15375,Planeta Sicilia Plumbago 2017,0.0,11.6,-0.7512672742876165
3850,15300,Pierre Jean Villa Crozes-Hermitage Accroche Coeur 2018,0.0,20.8,-0.42045726528217364
5546,15202,Thierry Germain Saumur-Champigny Cuvée Domaine 2018,6.0,15.2,-0.6218198794593999
4165,15075,Parés Baltà Penedès Indigena 2017,3.0,12.0,-0.7368842304178147
5709,15035,Philippe Alliet Chinon Rouge Coteau de Noiré 2016,0.0,31.7,-0.028519319830072814
4065,15022,Oratoire Saint Martin Cairanne Rouge Les Douyes 2016,0.0,19.5,-0.46720215785902974
4155,14944,Elian Daros Côtes du Marmandais Le Vignoble d'Elian 2016,3.0,14.5,-0.646990206231553
6886,14897,Gratavinum Priorat GV5 2011,0.0,42.0,0.3418440598173253
5616,14845,"Albert Boxler Pinot Noir ""S"" 2016",2.0,38.4,0.21239666498910842
5617,14844,Albert Boxler Pinot Gris Réserve 2016,3.0,27.8,-0.16875399756064097
6108,14797,Gilles Robin Cornas 2016,0.0,46.0,0.48567449851534394
5379,14561,Argentine Mendoza Alamos Torrontes 2017,0.0,11.1,-0.7692460791248689
5903,14099,Stéphane Tissot Arbois Trousseau Singulier 2017,0.0,27.3,-0.1867328023978933
5796,13895,Château Saransot-Dupré Bordeaux Blanc 2016,0.0,12.5,-0.7189054255805624
4655,13516,Thierry Germain Saumur-Champigny Les Mémoires 2016,0.0,40.2,0.27712036240321697
4357,9562,Champagne Larmandier-Bernier Latitude,0.0,39.0,0.2339712307938113
4731,8344,Domaine Muré Crémant d'Alsace Rosé,18.0,22.0,-0.37730813367276805
4401,3506,Cognac Frapin VSOP,1.0,62.5,1.0789750581446709
4144,1662,Champagne Gosset Grand Rosé,87.0,49.0,0.593547327538858
5932,523,Cognac Normandin Mercier VFC,0.0,59.9,0.9854852729909588
4634,41,Marcel Windholtz Eau de Vie de Marc de Gewurztraminer,0.0,41.0,0.3058864501428206
4039,19815,Pierre Jean Villa Côte Rôtie Carmina 2017,0.0,46.0,0.48567449851534394
4297,16246,Domaine de La Tour Du Bon Bandol Blanc 2019,0.0,19.0,-0.4851809626962821
7338,16230,Domaine Saint-Nicolas Vin de France Blanc Les Clous 2019,0.0,16.3,-0.5822665088174447
4174,16209,Maurel Cabardès Tradition 2017,6.0,5.7,-0.9634171713671942
6070,16133,Borie La Vitarèle Pays d'Hérault Les Cigales 2019,1.0,9.3,-0.8339697765389773
4158,16093,Planeta Sicilia Etna Rosso 2018,0.0,18.5,-0.5031597675335344
4056,16029,Clos du Mont-Olivet Côtes-du-Rhône Vieilles Vignes 2018,10.0,12.7,-0.7117139036456614
4976,16005,Château Lafont Menaut Pessac-Leognan Rouge 2017,4.0,16.45,-0.576872867366269
4929,15927,Domaine La Croix Belle Côtes de Thongue Rouge N°7 2017,2.0,16.7,-0.5678834649476429
5615,15923,"Albert Boxler Pinot Gris Grand Cru Sommerberg ""W"" 2016",0.0,56.4,0.8596336391301924
7025,15887,Domaine Jamet Côte Rôtie Fructus Voluptas 2018,0.0,69.0,1.3126995210289514
4620,15850,Bernard Baudry Chinon Rouge Les Granges 2018,6.0,11.9,-0.7404799913852652
4270,15839,Domaine Sérol Côte Roannaise Les Millerands 2018,4.0,15.5,-0.6110325965570484
6887,15736,Gratavinum Priorat 2?r 2017,0.0,21.8,-0.38449965560766897
4210,15720,Lucien Boillot Nuits-Saint-Georges 1er Cru Les Pruliers 2017,0.0,79.8,1.7010417055136016
6570,15706,Decelle-Villa Marsannay Les Longeroies 2015,0.0,29.2,-0.11841334401633448
6569,15705,Decelle-Villa Chorey-Lès-Beaune 2016,3.0,29.0,-0.12560486595123538
