product_id,post_title,price,total_sales,ca_produit
4712,Domaine Schoenheitz Crémant d'Alsace Mémoire de Granit Extra Brut,15.8,1.0,15.8
5439,La Préceptorie Maury Sec Rouge Copain Comme Cochon 2018,13.2,18.0,237.6
5747,Thibaud Boudignon Anjou Blanc 2018,24.5,21.0,514.5
5477,Domaine Pellé Menetou Salon Blanc Les Vignes de Ratier 2018,19.8,4.0,79.2
6094,Château de Villeneuve Saumur-Champigny Clos de la Bienboire 2018,13.4,0.0,0.0
4598,Marc Colin Et Fils Saint-Aubin Blanc En Montceau 2017,41.8,1.0,41.8
5807,Château d'Arcole Saint-Emilion Grand Cru 2016,27.3,4.0,109.2
4703,Albert Mann Crémant d'Alsace Extra Brut 2017,19.8,7.0,138.6
4229,Mérieau Touraine L'Arpent des Vaudons 2018,9.6,0.0,0.0
4161,Planeta Sicilia Plumbago 2017,11.6,0.0,0.0
3850,Pierre Jean Villa Crozes-Hermitage Accroche Coeur 2018,20.8,0.0,0.0
5546,Thierry Germain Saumur-Champigny Cuvée Domaine 2018,15.2,6.0,91.19999999999999
4165,Parés Baltà Penedès Indigena 2017,12.0,3.0,36.0
6213,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016,121.0,0.0,0.0
5709,Philippe Alliet Chinon Rouge Coteau de Noiré 2016,31.7,0.0,0.0
4065,Oratoire Saint Martin Cairanne Rouge Les Douyes 2016,19.5,0.0,0.0
4155,Elian Daros Côtes du Marmandais Le Vignoble d'Elian 2016,14.5,3.0,43.5
6886,Gratavinum Priorat GV5 2011,42.0,0.0,0.0
5616,"Albert Boxler Pinot Noir ""S"" 2016",38.4,2.0,76.8
5617,Albert Boxler Pinot Gris Réserve 2016,27.8,3.0,83.4
6108,Gilles Robin Cornas 2016,46.0,0.0,0.0
5379,Argentine Mendoza Alamos Torrontes 2017,11.1,0.0,0.0
5903,Stéphane Tissot Arbois Trousseau Singulier 2017,27.3,0.0,0.0
5796,Château Saransot-Dupré Bordeaux Blanc 2016,12.5,0.0,0.0
4655,Thierry Germain Saumur-Champigny Les Mémoires 2016,40.2,0.0,0.0
4357,Champagne Larmandier-Bernier Latitude,39.0,0.0,0.0
4731,Domaine Muré Crémant d'Alsace Rosé,22.0,18.0,396.0
4401,Cognac Frapin VSOP,62.5,1.0,62.5
4144,Champagne Gosset Grand Rosé,49.0,87.0,4263.0
5932,Cognac Normandin Mercier VFC,59.9,0.0,0.0
4634,Marcel Windholtz Eau de Vie de Marc de Gewurztraminer,41.0,0.0,0.0
4039,Pierre Jean Villa Côte Rôtie Carmina 2017,46.0,0.0,0.0
4297,Domaine de La Tour Du Bon Bandol Blanc 2019,19.0,0.0,0.0
7338,Domaine Saint-Nicolas Vin de France Blanc Les Clous 2019,16.3,0.0,0.0
4174,Maurel Cabardès Tradition 2017,5.7,6.0,34.2
6070,Borie La Vitarèle Pays d'Hérault Les Cigales 2019,9.3,1.0,9.3
4158,Planeta Sicilia Etna Rosso 2018,18.5,0.0,0.0
4056,Clos du Mont-Olivet Côtes-du-Rhône Vieilles Vignes 2018,12.7,10.0,127.0
4976,Château Lafont Menaut Pessac-Leognan Rouge 2017,16.45,4.0,65.8
4929,Domaine La Croix Belle Côtes de Thongue Rouge N°7 2017,16.7,2.0,33.4
5615,"Albert Boxler Pinot Gris Grand Cru Sommerberg ""W"" 2016",56.4,0.0,0.0
7025,Domaine Jamet Côte Rôtie Fructus Voluptas 2018,69.0,0.0,0.0
4620,Bernard Baudry Chinon Rouge Les Granges 2018,11.9,6.0,71.4
4270,Domaine Sérol Côte Roannaise Les Millerands 2018,15.5,4.0,62.0
6887,Gratavinum Priorat 2?r 2017,21.8,0.0,0.0
4210,Lucien Boillot Nuits-Saint-Georges 1er Cru Les Pruliers 2017,79.8,0.0,0.0
6570,Decelle-Villa Marsannay Les Longeroies 2015,29.2,0.0,0.0
6569,Decelle-Villa Chorey-Lès-Beaune 2016,29.0,3.0,87.0
4716,Domaine Schoenheitz Pinot Gris Herrenreben 2017,18.6,0.0,0.0
4176,Domaine de l'Hortus Pic Saint-Loup La Bergerie Rouge 2018,13.5,9.0,121.5
4670,Domaine Pellé Menetou Salon Blanc Morogues 2018,17.0,2.0,34.0
4163,Parés Baltà Penedès Calcari 2018,10.8,3.0,32.400000000000006
6573,Marc Colin Et Fils Chassagne-Montrachet 1er Cru Les Champs Gain 2017,68.3,1.0,68.3
4566,Domaine de Montcalmès Coteaux du Languedoc Blanc 2017,28.5,0.0,0.0
4070,Gilles Robin Crozes-Hermitage Blanc Les Marelles 2018,23.4,7.0,163.79999999999998
6585,La Préceptorie Côtes du Roussillon Blanc Terres Nouvelles 2018,19.0,0.0,0.0
6753,Château Simone Palette Rouge 2015,46.5,0.0,0.0
5820,Maison Trimbach Riesling Cuvée Frédéric Emile 2012,63.5,0.0,0.0
4715,Domaine Schoenheitz Pinot Blanc Val Saint Grégoire 2017,11.1,0.0,0.0
5892,Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016,191.3,3.0,573.9000000000001
4885,Saumaize-Michelin Mâcon Vergisson Sur La Roche 2017,18.7,0.0,0.0
4043,Pierre Gaillard Côte Rôtie Esprit de Blonde 2017,60.0,3.0,180.0
4726,François Baur Pinot Noir Schlittweg 2017,12.7,4.0,50.8
4400,Cognac Frapin 1270,44.0,0.0,0.0
5573,Domaine Huet Vouvray Le Clos du Bourg Demi-Sec 2017,34.7,0.0,0.0
6201,David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016,105.6,0.0,0.0
5448,Parcé Frères Côtes du Roussillon Villages Hommage à Fernand 2017,7.2,0.0,0.0
5554,Thierry Germain Saumur-Champigny Clos de l'Echelier 2017,38.0,0.0,0.0
4582,Château de Meursault Puligny-Montrachet 1er Cru Champ Canet 2014,109.6,0.0,0.0
5445,La Préceptorie Maury Blanc 2015,16.3,0.0,0.0
4619,Alphonse Mellot Sancerre Rouge En Grands Champs 2012,59.0,0.0,0.0
4253,Domaine Huet Vouvray Le Clos du Bourg Moelleux Première Trie 2008,59.6,0.0,0.0
6206,Domaine Giudicelli Patrimonio Blanc 2019,25.2,41.0,1033.2
